売上年月日,社員番号,社員名,役職,部門番号,部門名,担当エリア,顧客番号,顧客名,売上金額
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29566,Historic Bicycle Sales,6122.082
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29844,Seventh Bike Store,3746.2015
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29811,Trusted Catalog Store,14203.458
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29759,Convenient Bike Shop,3875.7229
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29610,Curbside Universe,1258.3767
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29718,Weekend Tours,12718.0844
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29533,Small Cycle Store,1297.5901
2011-05-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29491,Clamps & Brackets Co.,20541.4072
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29955,Catalog Store,32940.1556
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29509,Retail Sales and Service,6783.7679
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29961,Exotic Bikes,13694.3494
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29675,Wholesale Bikes,4316.9864
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30091,Active Transport Inc.,7135.2649
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29664,Only Bikes and Accessories,4079.988
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29724,Lease-a-Bike Shop,18320.6894
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29791,Leather and Vinyl Manufacturing,14660.3024
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29731,Super Sports Store,2561.5408
2011-07-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29688,Handy Bike Services,4049.988
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29592,Painters Bicycle Specialists,844.1043
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29655,Full-Service Bike Store,8129.976
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29746,Bicycle Outfitters,33478.9114
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29581,Modern Bike Store,12907.7717
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29498,Metropolitan Sales and Rental,874.794
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29966,Larger Cycle Shop,55699.8037
2011-08-01,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29487,The Bike Mechanics,20514.2859
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29886,Eleventh Bike Store,57.6808
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29566,Historic Bicycle Sales,4082.088
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29973,Friendly Bike Shop,3432.6101
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29844,Seventh Bike Store,23983.6988
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29811,Trusted Catalog Store,10231.4699
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,30096,Classic Cycle Store,5.7
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29759,Convenient Bike Shop,7758.1202
2011-08-31,275,Michael G Blythe,Sales Representative,010,Sales,Northeast,29610,Curbside Universe,7349.9601
